"","x"
"23295",1
"28731",1
"19122",1
"30177",1
"124",2
"21918",1
"18080",1
"12952",1
"32818",1
"38404",1
"25944",1
"9175",1
"32175",1
"28462",1
"38346",1
"10412",2
"34514",1
"19160",1
"11996",1
"15516",1
"29818",1
"3959",1
"16546",1
"25828",1
"11594",1
"8088",1
"85",2
"4235",1
"8436",1
"4521",1
"26977",1
"7588",1
"38665",1
"37176",1
"27153",1
"29043",1
"28750",1
"25616",1
"6557",1
"36234",1
"22160",1
"21056",1
"740",2
"14380",1
"26931",1
"16350",1
"29708",1
"30443",1
"22508",1
"7405",1
"29753",1
"3637",1
"24419",2
"16319",1
"30466",1
"31693",1
"37949",1
"8471",1
"34013",1
"16356",1
"20126",1
"30399",1
"5200",1
"16158",1
"25969",1
"35604",1
"13512",1
"4128",1
"36567",1
"7842",2
"2119",2
"16701",1
"13287",1
"10808",1
"26019",1
"30739",1
"17242",1
"36479",1
"10674",1
"25840",1
"14911",1
"36674",1
"28837",1
"23135",1
"31938",1
"34594",1
"29223",1
"19671",1
"38750",1
"21766",1
"34483",1
"39641",1
"24036",1
"1318",2
"9983",1
"30413",1
"39124",1
"37629",1
"29429",1
"26669",2
"9675",1
"23770",1
"22492",1
"1944",2
"14609",1
"35060",1
"15351",1
"20255",1
"6868",1
"7547",1
"21412",1
"15402",1
"24493",1
"22417",1
"5509",1
"11332",1
"24",2
"37423",1
"15645",1
"38271",1
"20046",1
"18298",1
"28350",1
"5565",1
"20506",1
"21948",1
"25861",1
"14579",1
"5332",1
"2894",2
"29820",1
"27520",1
"29912",1
"6150",1
"23467",2
"29888",1
"35733",1
"12060",1
"25725",1
"13225",1
"23656",1
"3287",1
"23710",1
"23327",1
"26185",1
"31356",1
"33485",1
"1963",2
"26398",1
"33108",1
"29213",1
"32467",1
"5006",1
"31078",1
"13913",1
"37102",1
"36399",1
"23183",1
"4324",1
"30671",1
"23549",1
"3454",1
"25717",2
"12993",1
"32685",1
"9694",1
"14225",1
"36174",1
"22026",1
"31564",1
"1523",2
"1558",2
"24743",1
"9352",1
"9878",1
"24431",1
"15868",1
"31230",1
"4594",1
"38894",1
"25415",1
"25639",1
"29231",1
"20111",1
"14873",1
"23904",1
"37773",1
"8441",1
"29277",1
"16906",1
"32397",1
"34536",1
"38306",1
"39152",1
"10067",1
"8736",1
"30908",1
"6454",1
"32761",1
"37992",1
"19448",1
"1556",2
"24435",1
"32456",1
"6090",1
"38701",1
"26611",2
"33794",1
"9445",1
"33709",1
"30954",1
"23928",1
"8150",1
"2322",2
"24433",1
"31413",1
"39560",1
"26008",1
"15743",1
"15119",1
"2354",2
"16420",1
"21530",1
"31880",1
"32728",1
"473",2
"22371",1
"11783",1
"1511",2
"13997",1
"10447",1
"38043",1
"37148",1
"24061",1
"37681",1
"34290",1
"4686",1
"23285",1
"13938",1
"26354",2
"24921",1
"27211",1
"24412",1
"4773",1
"10971",1
"6801",1
"6646",2
"21885",1
"16741",1
"15194",1
"32937",1
"8151",1
"19886",1
"15418",1
"10078",1
"31342",1
"11983",1
"3050",2
"36953",1
"14780",1
"12780",1
"25947",1
"30336",1
"18893",1
"36271",1
"1947",2
"26198",1
"32213",1
"13135",1
"36348",1
"18887",1
"36912",1
"12145",1
"23373",2
"34732",1
"23696",1
"17188",1
"21849",1
"36648",1
"32554",1
"39519",1
"32905",1
"10094",1
"13236",1
"21722",1
"7328",1
"19878",1
"36157",1
"11972",1
"13895",1
"2219",2
"34502",1
"19966",1
"31380",1
"9235",1
"26782",1
"33553",1
"17552",1
"6643",1
"19834",1
"33921",1
"1299",2
"10065",1
"36533",1
"23977",1
"37016",1
"31794",1
"1923",2
"11771",1
"19959",1
"27689",1
"11095",1
"18122",1
"28428",1
"4995",1
"36413",1
"15338",1
"9709",1
"36919",1
"32799",1
"16181",1
"34747",1
"8056",1
"37025",1
"18643",1
"4297",1
"24521",1
"11435",1
"32349",1
"12778",1
"34037",1
"1077",2
"21038",1
"18658",1
"34198",1
"18964",1
"8662",2
"19832",1
"372",2
"3447",1
"12408",1
"21239",1
"11800",1
"28815",1
"401",2
"23313",1
"27770",1
"18147",1
"8434",1
"4534",1
"15988",1
"24888",1
"2190",2
"22128",1
"27565",1
"37991",1
"37792",1
"4552",1
"7395",1
"7277",1
"17720",1
"7938",1
"37927",1
"3870",1
"32105",1
"3933",1
"37838",1
"209",2
"19379",1
"38361",1
"17105",1
"13372",1
"11876",1
"38396",1
"35969",1
"476",2
"3863",1
"39247",1
"24152",1
"30879",1
"18736",1
"31405",1
"38433",1
"36088",1
"10566",1
"3844",1
"2553",2
"7288",1
"23028",1
"34",2
"18834",1
"25494",1
"7807",1
"25846",1
"21494",1
"28942",1
"15225",1
"32500",1
"9670",1
"34459",1
"26902",1
"35643",1
"14391",1
"23917",1
"1294",2
"39428",1
"156",2
"22448",1
"10916",1
"23737",1
"36042",1
"22285",1
"31063",1
"11682",1
"39272",1
"33239",1
"32539",1
"2803",2
"24252",1
"19852",1
"2562",2
"8712",1
"22599",1
"14078",1
"36723",1
"2197",2
"14",2
"11269",1
"8445",1
"26758",1
"33608",1
"1160",2
"27258",1
"6479",1
"30503",1
"5667",1
"26272",1
"20214",1
"27390",1
"10278",1
"19651",1
"31946",1
"6981",1
"33588",1
"4271",1
"33850",1
"19982",1
"11097",1
"13079",1
"22125",1
"7156",1
"17064",1
"25703",1
"16324",1
"21785",1
"7597",1
"36048",1
"26156",1
"5089",1
"14635",1
"11738",1
"31266",1
"18254",1
"17140",1
"3091",2
"14502",1
"15061",1
"15152",1
"9295",1
"30651",1
"617",2
"15479",2
"15071",1
"17769",1
"11515",1
"31177",1
"33821",1
"36660",1
"10592",1
"26214",1
"27609",1
"7826",1
"21604",1
"24196",1
"4194",1
"22694",1
"25061",1
"7318",1
"17761",1
"35598",1
"21958",1
"36556",1
"28894",1
"27807",1
"21157",1
"37891",1
"36602",1
"6848",1
"21180",1
"25014",1
"4070",1
"1482",2
"29901",1
"37130",1
"4293",1
"15601",1
"1067",2
"16071",1
"8105",1
"35603",1
"8851",1
"38077",1
"10538",1
"20611",1
"36679",1
"35087",1
"36797",1
"11671",1
"29703",1
"7343",1
"3930",1
"3334",1
"19741",1
"22393",1
"26628",1
"9752",1
"17269",1
"20979",1
"22023",1
"36063",1
"6682",1
"1522",2
"3835",1
"601",2
"35670",1
"28928",2
"23461",1
"14637",1
"13233",1
"12692",1
"24315",1
"24526",1
"37988",1
"33686",1
"24858",1
"15867",1
"35679",1
"17489",1
"35419",1
"1021",2
"13247",1
"9920",1
"30103",1
"11468",1
"9973",1
"18257",1
"2723",2
"8777",1
"4445",1
"3098",2
"17075",1
"38047",1
"37326",1
"30887",1
"38761",1
"17650",1
"8172",1
"8931",1
"22888",1
"9999",1
"29326",1
"21355",1
"3780",1
"5827",1
"5644",1
"38348",1
"1011",2
"23488",1
"3954",1
"19720",1
"7255",1
"19634",1
"14909",1
"22785",1
"35637",1
"22586",1
"31461",1
"29705",1
"23513",1
"20657",1
"11048",1
"4806",1
"18728",1
"14215",1
"27397",1
"36820",1
"11884",1
"31755",1
"33089",1
"1778",2
"33418",1
"18421",1
"4709",1
"25374",1
"8803",1
"17802",1
"34282",1
"30687",1
"1771",2
"2623",2
"25631",1
"8853",1
"22909",1
"12770",1
"38648",1
"27412",1
"123",2
"29767",1
"7743",1
"26663",1
"28996",1
"9216",1
"36848",1
"22611",1
"30911",1
"36135",1
"2962",2
"25656",1
"38175",1
"9755",1
"1525",2
"38102",1
"5136",1
"6811",1
"18662",1
"24587",1
"38149",1
"3848",1
"26811",1
"51",2
"29660",1
"12367",1
"37024",1
"7552",1
"32370",1
"18838",1
"4264",1
"13578",1
"29408",1
"15057",1
"17639",1
"4148",1
"37194",1
"38176",1
"15602",1
"33516",1
"2449",2
"26426",1
"26600",1
"12129",1
"24665",1
"24770",1
"19042",1
"33064",1
"5615",1
"39353",1
"7754",1
"37806",1
"19116",1
"14462",1
"32841",1
"26816",1
"13816",1
"14427",1
"39239",1
"30215",1
"133",2
"35948",1
"26620",1
"9759",1
"25692",1
"18409",1
"34930",1
"11795",1
"35855",1
"10079",1
"17106",1
"27316",1
"34854",1
"19807",1
"19320",1
"1922",2
"9626",1
"30432",1
"7648",1
"34005",1
"14060",1
"10418",1
"22768",1
"6385",1
"18873",1
"37175",1
"22365",1
"30513",1
"22335",1
"20908",1
"29422",1
"5489",1
"15138",1
"31007",1
"36611",1
"1484",2
"25815",1
"6291",1
"4488",1
"5108",1
"15083",1
"8322",1
"26885",1
"6061",1
"13134",1
"12848",1
"24488",1
"15647",1
"25761",1
"38374",1
"34853",1
"13123",1
"9922",1
"12424",1
"19020",1
"730",2
"10994",1
"25397",1
"39136",1
"4467",1
"1243",2
"11126",1
"22264",1
"1487",2
"27997",1
"34553",1
"28472",1
"15620",1
"3171",1
"16334",1
"4984",1
"1179",2
"4891",1
"13768",1
"9462",1
"19900",1
"21872",1
"17209",1
"27895",1
"12956",1
"7997",1
"38200",1
"81",2
"36006",1
"31975",1
"12698",1
"28156",1
"5350",1
"9311",1
"38850",1
"5451",1
"31682",1
"14719",1
"16803",1
"20917",1
"3886",1
"29474",1
"13902",1
"35347",1
"27800",1
"7625",1
"6982",1
"23660",1
"7707",1
"35001",1
"12084",1
"7074",1
"35476",1
"15859",1
"23623",1
"1473",2
"32903",1
"23605",1
"17594",1
"10037",1
"38609",1
"6834",1
"24899",1
"8381",1
"970",2
"25854",1
"3056",2
"589",2
"8564",1
"12903",1
"480",2
"5980",1
"4937",1
"6466",1
"35414",1
"26264",1
"38913",1
"24531",1
"31897",1
"17600",1
"18325",1
"27109",1
"17946",1
"10525",1
"321",2
"828",2
"8975",1
"33694",1
"35772",1
"15725",1
"5831",1
"13753",1
"14409",1
"21640",1
"11858",1
"29929",1
"35350",1
"25576",1
"11740",1
"31655",1
"23555",1
"19936",1
"22940",1
"11807",1
"24787",1
"14686",1
"22802",1
"30558",1
"11546",1
"7608",1
"19529",1
"6542",1
"10476",1
"23953",1
"13105",1
"28059",1
"8709",1
"1746",2
"37302",1
"30124",1
"33000",1
"19401",1
"28516",1
"16453",1
"6546",1
"33277",1
"8570",1
"35759",1
"32089",1
"4827",1
"29737",1
"32438",1
"6204",1
"10132",1
"37278",1
"21234",1
"19455",1
"26307",1
"21876",1
"21245",1
"10314",1
"2757",2
"36633",1
"11766",1
"7430",1
"36038",1
"31174",1
"21840",1
"33720",1
"7745",1
"20061",1
"9830",1
"4575",1
"32831",1
"1973",2
"24400",1
"23791",1
"7097",1
"2191",2
"19295",1
"39475",1
"27824",1
"29301",1
"36763",1
"9431",1
"38708",1
"31474",1
"13514",1
"16243",1
"32262",1
"38607",1
"12402",1
"34676",1
"35617",1
"17430",1
"32686",1
"33663",1
"1864",2
"18382",1
"25491",1
"24285",1
"2991",2
"22178",1
"2744",2
"23861",1
"20264",1
"23894",1
"20053",1
"25521",1
"18684",1
"28265",1
"34412",1
"32201",1
"23633",1
"5074",1
"9608",1
"166",2
"21006",1
"2415",2
"11642",1
"10372",1
"18137",1
"3328",1
"4813",1
"8307",1
"17417",1
"34020",1
"20748",1
"35527",1
"9258",1
"26818",1
"19804",1
"24894",1
"9903",1
"31708",1
"9961",1
"4460",1
"16065",1
"34587",1
"26386",1
"9277",1
"16050",1
"23289",1
"22066",1
"20644",1
"31969",1
"14252",1
"14862",1
"24995",1
"17583",1
"32259",1
"26653",1
"10288",1
"3993",1
"29234",1
"27083",1
"28377",1
"11356",1
"17696",1
"4888",1
"284",2
"1477",2
"15247",1
"9093",1
"23767",1
"4635",1
"12070",1
"4571",1
"14844",1
"36323",1
"24473",1
"4319",1
"13863",1
"32204",1
"29879",1
"27088",1
"28690",1
"7206",1
"32125",1
"10361",1
"14047",1
"13053",1
"10424",1
"22039",1
"33885",1
"13931",1
"26636",1
"30473",1
"26796",1
"14737",1
"23669",1
"582",2
"39217",1
"17675",1
"26029",1
"1226",2
"4439",1
"31613",1
"5922",1
"8702",1
"6814",1
"5067",1
"26194",1
"10606",1
"36833",1
"27587",1
"34289",1
"1054",2
"38039",1
"22968",1
"22148",1
"6332",1
"23422",1
"19003",1
"32700",1
"28752",1
"35081",1
"27377",1
"1542",2
"35717",1
"6620",1
"21093",1
"18605",1
"9242",1
"25701",1
"37655",1
"7506",1
"14568",1
"15019",1
"30229",1
"4314",1
"31518",1
"29370",1
"25831",1
"22691",1
"35297",1
"30660",1
"15955",1
"31292",1
"4172",1
"15157",1
"13735",1
"1358",2
"11169",1
"10345",1
"24031",1
"26244",1
"6703",1
"38111",1
"28748",1
"1279",2
"4673",1
"9549",1
"36711",1
"28586",1
"35410",1
"25396",1
"12490",1
"38476",1
"21238",1
"15417",1
"13542",1
"21086",1
"4350",1
"30846",1
"149",2
"6715",1
"18723",1
"7582",1
"18581",1
"38666",1
"36286",1
"38552",1
"879",2
"12747",1
"9701",1
"35882",1
"30965",1
"11375",1
"24217",1
"13115",1
"20949",1
"10084",1
"10213",1
"26368",1
"22138",1
"25367",1
"15534",1
"38762",1
"20822",1
"4373",1
"10756",1
"9796",1
"33705",1
"32061",1
"32662",1
"33737",1
"34719",1
"12574",1
"13620",1
"20574",1
"14524",1
"9187",1
"13860",1
"22858",1
"34939",1
"33085",1
"14589",1
"5778",1
"20569",1
"3799",1
"24750",1
"25287",1
"28669",1
"30695",1
"15054",1
"23446",1
"37798",1
"25419",1
"6748",1
"7101",1
"2933",2
"30980",1
"19721",1
"4735",1
"36681",1
"18660",1
"39002",1
"21637",1
"20741",1
"14626",1
"30746",1
"32230",1
"17569",1
"24250",1
"20647",1
"31406",1
"33814",1
"29074",1
"20494",1
"33117",1
"8618",1
"24154",1
"24923",1
"25188",1
"5244",1
"27921",1
"2760",2
"10894",1
"17203",1
"38638",1
"5165",1
"5180",1
"27425",1
"9523",1
"16835",1
"4955",1
"8453",1
"34458",1
"39510",1
"15573",1
"17390",1
"1467",2
"35159",1
"8390",1
"17336",1
"25091",1
"14138",1
"9155",1
"24603",1
"9004",1
"32332",1
"13690",1
"37975",1
"14108",1
"5729",1
"20653",1
"16278",1
"8807",1
"32743",1
"491",2
"24141",1
"14157",1
"16217",1
"26018",1
"3669",1
"28745",1
"14865",1
"21878",1
"16253",1
"1278",2
"38683",1
"9302",1
"36049",1
"1926",2
"12265",1
"224",2
"38936",1
"2602",2
"26282",1
"3215",1
"17341",1
"11606",1
"38240",1
"19087",1
"28077",1
"2029",2
"70",2
"17944",1
"11037",1
"2294",2
"39404",1
"20531",1
"27692",1
"32302",1
"15113",1
"26909",1
"5992",1
"32575",1
"24558",1
"39369",1
"19324",1
"13689",1
"20702",1
"8459",1
"33345",1
"3980",1
"11181",1
"38753",2
"4026",1
"26421",1
"3815",1
"36044",1
"5819",1
"15231",1
"3144",2
"25019",1
"18274",1
"39377",1
"36704",1
"6580",1
"17511",1
"21336",1
"29724",1
"7892",1
"39537",1
"10728",1
"15680",1
"7958",1
"27165",1
"21771",1
"13740",2
"20792",1
"29806",1
"27255",1
"38262",1
"33939",1
"10017",1
"17615",1
"8367",1
"5362",1
"37667",1
"24500",1
"16105",1
"30730",1
"19107",1
"18985",1
"18179",1
"32861",1
"10831",1
"18754",1
"6726",1
"32876",1
"4866",1
"4543",1
"31148",1
"7925",1
"6158",1
"32798",1
"28414",1
"35727",1
"34965",1
"6065",1
"33303",1
"27171",1
"16900",1
"12509",1
"11201",1
"17787",1
"5331",1
"36270",1
"18712",1
"35766",1
"15499",1
"8378",1
"21350",1
"38285",1
"10366",1
"19764",1
"27927",1
"5802",1
"28955",1
"5327",1
"32621",1
"15939",1
"37508",1
"10098",1
"21964",1
"8414",1
"10725",1
"9193",1
"17814",1
"38132",1
"1966",2
"19355",1
"20944",1
"18085",1
"12724",1
"13264",1
"24963",1
"9884",1
"14957",1
"24566",1
"3175",1
"3934",1
"19530",1
"27319",1
"3340",1
"25572",1
"30934",1
"10704",1
"38087",1
"964",2
"16832",1
"17402",1
"25669",1
"1654",2
"2440",2
"24575",1
"34869",1
"24569",1
"7132",1
"5750",1
"11620",1
"18989",1
"21427",1
"10142",1
"13959",1
"19903",1
"5694",1
"8850",1
"24988",1
"3878",1
"11380",1
"11347",1
"26309",1
"21405",1
"11637",1
"7981",1
"6417",1
"24508",1
"17529",1
"19939",1
"28132",1
"22752",1
"38703",1
"34782",1
"18065",1
"16562",1
"975",2
"26052",1
"35127",1
"29298",1
"18349",1
"12936",1
"7346",1
"5882",1
"15922",1
"34647",1
"22855",1
"14558",1
"2443",2
"26825",1
"28929",1
"24114",1
"22640",1
"29360",1
"33551",1
"27328",1
"31748",1
"8234",1
"11189",1
"36405",1
"11819",1
"38403",1
"6052",1
"14255",1
"13591",1
"21423",1
"31345",1
"26967",1
"36492",1
"25125",1
"31186",1
"8970",1
"1274",2
"19613",1
"30085",1
"21410",1
"32187",1
"18973",1
"27700",1
"32713",1
"7433",1
"30291",1
"32427",1
"17273",1
"29045",1
"17448",1
"28251",1
"3004",2
"13305",1
"18279",1
"30329",1
"8411",1
"20608",1
"15757",1
"17903",1
"21233",1
"35256",1
"9762",1
"29352",1
"1134",2
"77",2
"24491",1
"12672",1
"13631",1
"2591",2
"5927",1
"27320",1
"3786",1
"12450",1
"35572",1
"30884",1
"25311",1
"25728",1
"20339",1
"19248",1
"4141",1
"17632",1
"32583",1
"38641",1
"35594",1
"21903",1
"24471",1
"5064",1
"10242",1
"28345",1
"30327",1
"13114",1
"39643",1
"8639",1
"9790",1
"14074",1
"8673",1
"36662",1
"35252",1
"1489",2
"24661",1
"13747",1
"12398",1
"20508",1
"2249",2
"11168",1
"6047",1
"12870",1
"10888",1
"24529",1
"1895",2
"22227",1
"3143",2
"9458",1
"28683",1
"27015",1
"20302",1
"21588",1
"4717",1
"28485",1
"25798",1
"3485",1
"684",2
"8361",1
"37404",1
"16006",1
"35308",1
"38141",1
"34632",1
"11274",1
"29083",2
"5698",1
"12089",1
"29461",1
"29149",1
"25655",1
"14784",1
"4162",1
"38073",1
"37002",1
"27471",1
"35239",1
"19685",1
"3113",2
"24821",1
"37174",1
"29776",1
"1583",2
"6060",1
"20415",1
"11492",1
"4791",1
"9784",1
"13332",1
"6273",1
"13729",1
"7656",1
"39148",1
"32463",1
"4924",1
"27161",1
"111",2
"25741",1
"17433",1
"30828",1
"8592",1
"20101",1
"22022",1
"29187",1
"7476",1
"16809",1
"29659",1
"39192",1
"19308",1
"33874",1
"27428",1
"4142",1
"6033",1
"17584",1
"15708",1
"23046",1
"23942",1
"9058",1
"17520",1
"23526",1
"35874",1
"35798",1
"937",2
"9068",1
"29242",1
"3467",1
"19076",1
"4257",1
"31224",1
"32715",1
"17373",1
"39084",1
"116",2
"38427",1
"24997",1
"24090",1
"15595",1
"28095",1
"6080",1
"2009",2
"9644",1
"5246",1
"19688",1
"11021",1
"37433",1
"10420",1
"21663",1
"23092",1
"6168",1
"19382",1
"36621",1
"14711",1
"12458",1
"32462",1
"7665",1
"29137",1
"4001",1
"37912",1
"9430",1
"20803",1
"36686",1
"25460",1
"30812",1
"30929",1
"28988",2
"33528",1
"21036",1
"10218",1
"23038",1
"15771",1
"27207",1
"30523",1
"22055",1
"34286",1
"21156",1
"33326",1
"31262",1
"19131",1
"16353",1
"35271",1
"22623",1
"37923",1
"6958",1
"1232",2
"35529",1
"20289",1
"34576",1
"23287",1
"1317",2
"2954",2
"15603",1
"1707",2
"26688",1
"19025",1
"25804",1
"27924",1
"29239",1
"30127",1
"12345",1
"23221",1
