"","X","case_received_date","case_status","country_of_citizenship","decision_date","employer_state","employer_name","employer_yr_estab","foreign_worker_info_birth_country","foreign_worker_info_education","job_info_alt_combo_ed","job_info_alt_occ_job_title","job_info_job_title","job_info_work_state","wage_offer_from_9089","wage_offer_unit_of_pay_9089","employer_size","Center","Career_Cluster"
"55584",55583,2016,"Certified","PHILIPPINES",2016,"FL","""Jackson Therapy Partners Holdings, LLC""",2006,"","Other","Bachelor's","","Occupational Therapist","TX",61506,"Year","Large","Unknown",327110
"32941",32940,2015,"Certified-Expired","JAPAN",2016,"CA","GOOGLE INC.",1998,"","Bachelor's","Bachelor's","Please see H-14","Program Manager","CA",155600,"Year","Large","CA or VT",250373
"56071",56070,2016,"Certified","TURKEY",2016,"MA","""CORNERSTONE RESEARCH, INC.""",1989,"","Doctorate","Master's","research/teaching in economics/finance/quantitative analysis","Associate","NY",160000,"Year","Large","CA or VT",328777
"58582",58581,2016,"Certified","BULGARIA",2016,"CA","The Secret Lab",2003,"","Other","Other","in computer graphics technology and animation... (See H.14)","Animator","CA",85000,"Year","Large","CA or VT",337530
"810",809,2013,"Certified-Expired","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - A","NEW JERSEY",74422,"Year","Large","Unknown",137413
"41115",41114,2015,"Withdrawn","INDIA",2016,"PA","""ENCLARITY, INC.""",2013,"","Master's","Bachelor's","Software Developer I or any occupation in which req. exp. gained.","Senior Software Developer","PA",97000,"Year","Medium","CA or VT",279007
"3860",3859,2014,"Certified","INDIA",2015,"FLORIDA","GLOBAL INFORMATION TECHNOLOGY INC.",1995,"INDIA","Master's","Bachelor's","","PROGRAMMER ANALYST","FLORIDA",84000,"Year","Small","CA or VT",149339
"3373",3372,2014,"Certified-Expired","INDIA",2014,"ARIZONA","AXWAY INC.",1996,"INDIA","Master's","Master's","""SOA Architect, Enterprise Architect, Sys Integ Consultnt Eng or related""","Solution Architect","ARIZONA",138000,"Year","Large","CA or VT",146855
"45283",45282,2015,"Certified","BRAZIL",2016,"IL","""SIEMENS INDUSTRY, INC.""",1970,"","Bachelor's","Master's","5 yrs exp in job offered or an acceptable alternate occupation","Software Engineer III (Data Engineering Developer)","MN",93267,"Year","Large","CA or VT",292362
"29755",29754,2015,"Certified-Expired","CHINA",2015,"CA","""VMWARE, INC.""",1998,"","Master's","Bachelor's","""Software Developer, Software Engineer (all levels) - See H.11""","Member of Technical Staff - Software Engineer","WA",112986,"Year","Large","CA or VT",238049
"11578",11577,2014,"Certified-Expired","INDIA",2015,"CALIFORNIA","LEGALZOOM",1999,"INDIA","Master's","Bachelor's","System Analyst or related","Sr. Business Intelligence Developer","CALIFORNIA",80000,"Year","Large","CA or VT",175792
"25885",25884,2014,"Certified-Expired","UKRAINE",2015,"NEW YORK","""CA, INC.""",1976,"UKRAINE","Master's","Master's","Job offered and/or a related occupation","Principal Software Engineer","CALIFORNIA",150800,"Year","Large","CA or VT",222949
"39605",39604,2015,"Certified-Expired","INDIA",2016,"CA","""QUALCOMM ATHEROS, INC.""",2011,"","Bachelor's","Master's","Software Engineer or related","Senior Software Engineer/ Embedded SW","CA",108992,"Year","Large","CA or VT",273877
"19768",19767,2014,"Certified","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - II","TEXAS",64438,"Year","Large","Unknown",202088
"9965",9964,2014,"Certified-Expired","EGYPT",2014,"NORTH CAROLINA","IBM CORPORATION",1911,"SAUDI ARABIA","Bachelor's","Bachelor's","Software Architect or rltd.","Technical Sales Specialist","NEW YORK",95077,"Year","Large","Unknown",170719
"8304",8303,2014,"Certified","UNITED KINGDOM",2015,"FLORIDA","KINGSPAN INSULATED PANELS INC",1986,"UNITED KINGDOM","Other","None","See H14","Manufacturing Manager","FLORIDA",91624,"Year","Large","Unknown",164892
"41275",41274,2015,"Certified-Expired","INDIA",2016,"TX","INFOSYS LTD.",1981,"","Master's","Bachelor's","""Technology Architect, Software Engineer (Systems), Technology Lead, or related position""","Technology Architect - US","TX",85571,"Year","Large","CA or VT",279620
"9201",9200,2014,"Certified-Expired","TAIWAN",2014,"CALIFORNIA","""QUALCOMM LABS, INC.""",2009,"TAIWAN","Doctorate","Master's","","Senior Systems Engineer/Wireless Communications","CALIFORNIA",115003.2,"Year","Large","CA or VT",168112
"56822",56821,2016,"Certified","ITALY",2016,"CA","GOOGLE INC.",1998,"","Master's","Bachelor's","See H.14","Software Engineer","CA",113000,"Year","Large","CA or VT",331148
"7017",7016,2014,"Certified-Expired","INDIA",2014,"NEW YORK","""LNK INTERNATIONAL, INC.""",1980,"INDIA","Bachelor's","Bachelor's","""Manager, Production; Production Chemist; Sr. Manufacturing Manager; Assist. Prod. Manager or rel pos""","Production Chemist","NEW YORK",87500,"Year","Large","CA or VT",160894
"53364",53363,2016,"Certified","INDIA",2016,"CA","""VIMO, INC. DBA GETINSURED.COM""",2005,"","Bachelor's","Master's","Software Engineer (or related occupation)","Staff Software Engineer","CA",164382,"Year","Medium","CA or VT",319758
"48582",48581,2016,"Certified","INDIA",2016,"PA","DELOITTE CONSULTING LLP",1996,"","Master's","Master's","Senior Consultant or related","""Manager, Technology, Systems Integration, System Development""","CA",138654,"Year","Large","CA or VT",303854
"25095",25094,2014,"Certified","INDIA",2015,"NEW YORK","""NORGATE TECHNOLOGY, INC.""",1993,"INDIA","Master's","Bachelor's","any position that provided the required skills and abilities","#C .Net Developer","NEW YORK",122179,"Year","Medium","CA or VT",220151
"26526",26525,2015,"Certified-Expired","CANADA",2015,"CA","""POLYVORE, INC""",2007,"","Bachelor's","Master's","software development experience","Senior Software Engineer","CA",152776,"Year","Medium","CA or VT",225406
"21699",21698,2015,"Certified","CANADA",2015,"WASHINGTON","AMAZON CORPORATE LLC",1999,"SINGAPORE","Other","Other","""User Experience Designer, Information Architect, or related""","UX Designer","WASHINGTON",77700,"Year","Large","Unknown",208313
"13673",13672,2014,"Certified","INDIA",2015,"OHIO","THE HUNTINGTON NATIONAL BANK",1905,"INDIA","Bachelor's","Master's","""SW Architect, SW Eng, Consultant or related IT occupation""","IS Technical Specialist (SOA Lead)","OHIO",101500,"Year","Large","CA or VT",182371
"44890",44889,2015,"Certified","INDIA",2016,"GA","AGILITY TECHNOLOGIES LLC",2007,"","Bachelor's","Master's","ANY RELATED IT POSITION","PROGRAMMER/ANALYST","GA",112000,"Year","Small","CA or VT",291143
"8019",8018,2014,"Certified-Expired","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - II","TEXAS",54059,"Year","Large","CA or VT",164049
"51202",51201,2016,"Certified","INDIA",2016,"VA","""CAPITAL ONE SERVICES, LLC""",1995,"","Bachelor's","Bachelor's","Any job title in which the required qualifications were obtained","""Manager, Software Engineering""","VA",124300,"Year","Large","CA or VT",312633
"23292",23291,2014,"Certified-Expired","INDIA",2015,"ILLINOIS","""INTELLISYS TECHNOLOGY, LLC""",1998,"INDIA","Master's","Other","""Sr. Systems QA Analyst, Computer Systems Analyst, Sr. Syst. Analyst, Sys. Anal., Progr, Team Lead, P""","Sr. Systems QA Analyst","ILLINOIS",88254,"Year","Small","CA or VT",214140
"37300",37299,2015,"Certified-Expired","INDIA",2016,"TX","INFOSYS LTD.",1981,"","Bachelor's","Bachelor's","""Lead Consultant, Business System Analyst, Senior Consultant, Software Engineer or related position""","Lead Consultant (Domain) -  US","TX",98904,"Year","Large","Unknown",266223
"50470",50469,2016,"Certified","CANADA",2016,"WA","AMAZON CORPORATE LLC",1999,"","Bachelor's","Bachelor's","""Software Engineer, Software Developer, or a related occupation""","Software Development Engineer III","WA",117458,"Year","Large","CA or VT",310098
"36805",36804,2015,"Certified-Expired","CHINA",2016,"CA","SPIRENT COMMUNICATIONS",1936,"","Master's","Bachelor's","","Software Engineer","CA",95237,"Year","Large","Unknown",264370
"38916",38915,2015,"Certified-Expired","INDIA",2016,"CA","""PAYPAL, INC.""",1999,"","Bachelor's","Bachelor's","""Field of Software Engineering, Computer Analytics, or Software Development""","Software Engineer","CA",138403,"Year","Large","CA or VT",271421
"35084",35083,2016,"Withdrawn","INDIA",2016,"AZ","""INTRAEDGE, INC""",2002,"","Bachelor's","Bachelor's","","Software Engineer","AZ",74984,"Year","Large","CA or VT",258175
"26045",26044,2014,"Certified","INDIA",2015,"PENNSYLVANIA","""MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY""",1986,"INDIA","Bachelor's","Master's","""Systems Analyst,Software Developer or Similar IT Position""","Senior Web Developer","PENNSYLVANIA",98821,"Year","Large","CA or VT",223455
"33389",33388,2015,"Certified-Expired","INDIA",2016,"WA","""REALNETWORKS, INC.""",1994,"","Master's","Master's","Software Developer or related occupation","Lead Software Development Engineer (Lead SDE)","WA",128775,"Year","Large","CA or VT",251543
"39108",39107,2015,"Certified-Expired","INDIA",2016,"CA","SPLUNK",2004,"","Master's","Bachelor's","""Job offered or related computer, IT operations, analyst role.""","Professional Services Engineer","CA",110000,"Year","Large","CA or VT",272034
"42171",42170,2015,"Certified-Expired","INDIA",2016,"CA","SALESFORCE.COM",1999,"","Master's","Bachelor's","Please see H.14","""Software Engineer - Applications (Developer, Member of Technical Staff)""","CA",123200,"Year","Large","CA or VT",282721
"21900",21899,2015,"Withdrawn","CHINA",2015,"WASHINGTON","MICROSOFT CORPORATION",1975,"CHINA","Bachelor's","Bachelor's","Any computer-related experience","Software Engineer II - Online ICE or Other","WASHINGTON",127350,"Year","Large","Unknown",209109
"29895",29894,2015,"Certified-Expired","INDIA",2015,"NJ","""FIRST TEK, INC.""",2001,"","Master's","Bachelor's","SOFTWARE PROFESSIONAL","DATABASE ADMINISTRATOR","NJ",104437,"Year","Large","CA or VT",238506
"51982",51981,2016,"Certified","INDIA",2016,"NJ","Polaris consulting and services Ltd",1993,"","Master's","Bachelor's","Business Applications.","Sr. Consultant","NJ",83741,"Year","Large","CA or VT",315182
"32883",32882,2014,"Withdrawn","INDIA",2015,"TX","ERICSSON INC.",1984,"","Master's","Bachelor's","See H.14.","Engineer","GA",73320,"Year","Large","CA or VT",250108
"17641",17640,2014,"Certified","CHINA",2015,"CONNECTICUT","""STANLEY BLACK & DECKER, INC.""",1843,"CHINA","Master's","Bachelor's","""ANY JOB TITLE WITH DUTIES INVOLVING INVENTORY, SOURCING, OR SUPPLY MANAGEMENT; OR SUPPLY CHAIN MANAGEMENT OR ANALYSIS.""","GLOBAL SENIOR SUPPLY CHAIN ANALYST","MARYLAND",96283,"Year","Large","CA or VT",195339
"27971",27970,2015,"Certified-Expired","THAILAND",2015,"CA","ENPHASE ENERGY",2006,"","Master's","Bachelor's","An occupation involving experience as specified in section H.14","""Staff Engineers, Power Electronics""","CA",107000,"Year","Large","CA or VT",231293
"25850",25849,2014,"Withdrawn","INDIA",2014,"RHODE ISLAND","FM GLOBAL",1835,"INDIA","Doctorate","Doctorate","RELIABILITY ENGINEERING EXPERIENCE","RELIABILITY ENGINEER","MASSACHUSETTS",111821,"Year","Large","CA or VT",222822
"42968",42967,2015,"Certified-Expired","INDIA",2016,"TX","""YASH & LUJAN CONSULTING, INC.""",1998,"","Master's","Bachelor's","Any in descr. duties (Consultant; related)","Senior Software Engineer","TX",80683,"Year","Large","CA or VT",285298
"61545",61544,2016,"Certified","INDIA",2016,"TX","CIGNITI INC",2004,"","Bachelor's","Bachelor's","Any computer related occupation.","Consultant (Test Engineer)","TX",115794,"Year","Large","CA or VT",348058
"1316",1315,2013,"Certified-Expired","INDIA",2014,"NEW JERSEY","INFOREEM INC",2004,"INDIA","Bachelor's","Bachelor's","""Senior System Software Analyst, Software Engineer""","Project Manager","NEW JERSEY",120474,"Year","Small","CA or VT",138950
"56476",56475,2016,"Certified","CHINA",2016,"WA","AMAZON CORPORATE LLC",1999,"","Doctorate","Master's","""Research Scientist, Research Assistant, Software Engineer, or rel.""","Applied Scientist II","WA",115814,"Year","Large","Unknown",330168
"35510",35509,2015,"Certified-Expired","INDIA",2016,"NY","THE GUARDIAN LIFE INSURANCE CO. OF AMERICA",1860,"","Master's","Master's","designing and developing solutions using WebSphere Portal","Developer II","NY",126422,"Year","Large","CA or VT",259649
"20058",20057,2015,"Certified","INDIA",2015,"NEW JERSEY","""TRISYNC TECHNOLOGIES, INC.""",2006,"INDIA","Bachelor's","Master's","JOB OFFERED OR ANY RELATED OCCUPATION","PROGRAMMER ANALYST","NEW JERSEY",108805,"Year","Small","CA or VT",203074
"42102",42101,2015,"Certified-Expired","INDIA",2016,"NC","IBM CORPORATION",1911,"","Other","Other","""Practice Area Lead, Senior Consulting Engineer, Programmer Analyst, or rel""","Delivery Manager","NY",80995,"Year","Large","CA or VT",282540
"53650",53649,2016,"Certified","INDIA",2016,"MA","""ECLINICALWORKS, LLC""",1999,"","Bachelor's","Other","","EMR Business Analyst","NY",61797,"Year","Large","CA or VT",320674
"42776",42775,2015,"Certified-Expired","CHINA",2016,"IL","SEARS HOLDINGS MANAGEMENT CORPORATION",1886,"","Master's","Master's","""Business Finance Manager, Finance Associate, or similar""","""Director, Program Management""","IL",140566,"Year","Large","CA or VT",284700
"29296",29295,2015,"Certified-Expired","INDIA",2015,"CA","""ELECTRONIC ARTS, INC.""",1982,"","Master's","Doctorate","in software development on large scale distributed systems","DATA PLATFORM SOFTWARE ENGINEER II","CA",135000,"Year","Large","CA or VT",236449
"647",646,2013,"Certified-Expired","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Master's","Other","","Computer Systems Analyst - A","NEW JERSEY",74422,"Year","Large","CA or VT",137201
"68300",68299,2016,"Certified","INDIA",2016,"TX","INFOLOB SOLUTIONS INC",2009,"","Master's","Bachelor's","","Oracle DBA I","TX",71400,"Year","Medium","CA or VT",370142
"57654",57653,2016,"Certified","INDIA",2016,"NJ","MINDTREE LIMITED",1999,"","Bachelor's","Bachelor's","Information technology experience","Test Lead","NJ",101400,"Year","Large","CA or VT",334159
"53398",53397,2016,"Certified","CHINA",2016,"CA","""QUALCOMM ATHEROS, INC.""",2011,"","Master's","Bachelor's","Software Engineer or related","Senior Firmware Architect/WLAN Protocol","CA",119350,"Year","Large","Unknown",319881
"23018",23017,2014,"Certified-Expired","INDIA",2014,"NEW JERSEY","""EAPT SOLUTIONS, INC.""",2000,"INDIA","Master's","Master's","""Software Engineer/Application Programmer, Lead/Programmer Analyst or related""","Sr. Programmer Analyst","NEW JERSEY",110100,"Year","Medium","Unknown",213126
"41941",41940,2015,"Certified-Expired","INDIA",2016,"NJ","ERNST & YOUNG U.S. LLP",1989,"","Master's","Master's","PI Sr.-Customer-SSE-CCO;Market Strategy Analyst;Bus. Cons.; or related","PERFORMANCE IMPROVEMENT MANAGER - Customer - SSE - CCO (Multiple Positions)","IL",131934,"Year","Large","CA or VT",281893
"13281",13280,2014,"Withdrawn","INDIA",2014,"NEW YORK","BARCLAYS CAPITAL SERVICES INC.",1984,"INDIA","Master's","Bachelor's","""SW Dvlpr, Sys Analyst, Sys Engineer, or rltd.""","""AVP, Software Developer, Reference Data""","NEW JERSEY",98000,"Year","Large","CA or VT",181140
"34368",34367,2015,"Certified-Expired","INDIA",2016,"CA","""A2Z DEVELOPMENT CENTER, INC.""",2004,"","Master's","Bachelor's","""Software Engineer, Software Developer, or related""","Software Development Engineer II","CA",90834,"Year","Large","CA or VT",255341
"1207",1206,2013,"Certified-Expired","POLAND",2015,"INDIANA","ZIMMER INC",1927,"POLAND","Master's","Master's","""Associate Senior/Staff Auditor, or in a related auditing occupation""","Senior Auditor","INDIANA",70990,"Year","Large","CA or VT",138452
"44332",44331,2015,"Certified","TAIWAN",2016,"MA","PHILIPS ELECTRONICS NORTH AMERICA CORPORATION",1939,"","Master's","Master's","Job offered or related occupation","Commodity Management Specialist","WA",70637,"Year","Large","CA or VT",289432
"16615",16614,2014,"Certified","INDIA",2015,"NEW JERSEY","PUJA PHARMACY LLC",2012,"INDIA","Master's","Bachelor's","","RPh Pharmacy Manager (Supervisory)","NEW JERSEY",112882,"Year","Micro","CA or VT",192081
"57559",57558,2016,"Certified","VENEZUELA",2016,"FL","TOY TECH MOTORS CORPORATION",2006,"","Bachelor's","Bachelor's","","FOREIGN LEGAL CONSULTANT","FL",109000,"Year","Medium","Unknown",333752
"28362",28361,2015,"Certified-Expired","INDIA",2015,"TX","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"","Bachelor's","Other","","Computer Systems Analyst - II","TX",64438,"Year","Large","CA or VT",233047
"69349",69348,2016,"Certified","INDIA",2016,"CA","""CISCO SYSTEMS, INC.""",1984,"","Bachelor's","Master's","Software Engineer or in a related occupation.","Software Engineer","CA",123000,"Year","Large","CA or VT",373605
"37304",37303,2015,"Certified-Expired","INDIA",2016,"NJ","Polaris consulting and services Ltd",1993,"","Master's","Bachelor's","Business Applications.","Sr.  Programmer Analyst","NJ",93101,"Year","Large","CA or VT",266236
"39476",39475,2015,"Certified-Expired","INDIA",2016,"TX","HITACHI CONSULTING CORPORATION",2000,"","Bachelor's","Bachelor's","ERP Solution Architecture","Software Engineer","TX",89500,"Year","Large","CA or VT",273463
"32847",32846,2015,"Certified-Expired","INDIA",2015,"TX","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"","Bachelor's","Other","","Computer Systems Analyst - II","TX",64438,"Year","Large","CA or VT",250030
"5302",5301,2014,"Certified-Expired","CAMEROON",2014,"CALIFORNIA","""ALLIANCE HEALTHCARE SERVICES, INC.""",1987,"CAMEROON","Master's","Master's","a closely related occupation","Sr. Network Engineer","CALIFORNIA",119558.4,"Hour","Large","CA or VT",155394
"40507",40506,2015,"Certified-Expired","INDIA",2016,"TX","INFOSYS LTD.",1981,"","Bachelor's","Bachelor's","""Senior Technology Architect,Technology Architect,Technology Lead,Senior Designer or related position""","Senior Technology Architect - US","TX",98904,"Year","Large","Unknown",277001
