age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,c_jail_in,c_jail_out
48,F,Caucasian,Greater than 45,Medium,Male,20,302.0,6,1,2014-02-28 11:19:21,2014-03-11 02:46:41
33,F,Caucasian,25 - 45,High,Male,1,0.0,9,0,2014-10-24 05:36:26,2014-10-25 03:19:50
63,F,Hispanic,Greater than 45,Low,Female,1,-219.0,1,0,2013-06-17 04:04:07,2013-06-25 08:31:09
30,F,African-American,25 - 45,Medium,Male,3,-1.0,6,0,2014-11-02 11:52:16,2014-11-04 02:31:15
31,F,African-American,25 - 45,Medium,Male,15,-1.0,5,1,2013-03-17 09:02:33,2013-07-31 08:23:26
24,F,African-American,Less than 25,Low,Male,2,-1.0,4,1,2013-09-17 07:19:20,2013-09-19 04:16:03
27,F,African-American,25 - 45,Medium,Male,0,-1.0,5,0,2014-11-07 09:08:30,2014-11-08 07:41:55
32,F,Caucasian,25 - 45,High,Male,3,-1.0,8,0,2014-07-29 06:31:17,2014-07-30 08:15:10
30,M,Hispanic,25 - 45,Medium,Male,0,0.0,7,0,2013-01-20 02:50:51,2013-02-12 09:16:13
49,M,African-American,Greater than 45,Low,Male,4,-1.0,1,0,2013-08-26 09:16:39,2013-08-27 06:57:19
53,F,Caucasian,Greater than 45,Medium,Male,8,-13.0,5,0,2013-05-15 08:36:10,2013-05-28 10:06:35
31,M,Hispanic,25 - 45,Low,Female,0,-1.0,1,0,2014-12-02 03:46:02,2014-12-02 08:24:25
35,F,African-American,25 - 45,Low,Male,5,-1.0,3,0,2013-02-10 07:44:42,2013-02-11 07:04:44
63,M,African-American,Greater than 45,Medium,Male,10,-38.0,7,1,2013-05-03 09:19:41,2013-06-08 05:22:38
33,F,African-American,25 - 45,Low,Male,2,-1.0,1,0,2014-04-13 07:50:17,2014-04-14 01:36:23
27,F,African-American,25 - 45,High,Male,15,-1.0,10,1,2014-08-29 04:58:13,2014-08-30 08:38:48
38,M,Caucasian,25 - 45,Low,Male,4,-1.0,2,1,2013-02-03 11:59:25,2013-02-05 11:05:50
46,F,Caucasian,Greater than 45,Medium,Male,9,-1.0,6,0,2013-03-20 04:00:43,2013-03-22 01:04:54
22,F,African-American,Less than 25,Low,Male,1,-1.0,4,1,2013-11-15 06:56:49,2013-11-16 07:51:56
34,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,2014-07-30 02:23:25,2014-07-30 07:49:14
22,F,African-American,Less than 25,High,Male,2,70.0,10,1,2013-05-23 01:31:00,2013-09-24 06:24:21
29,F,African-American,25 - 45,High,Male,4,-1.0,9,1,2013-01-25 10:34:01,2013-02-13 09:36:41
62,M,Hispanic,Greater than 45,Low,Male,0,0.0,1,0,2013-01-08 12:33:09,2013-01-08 09:41:28
27,F,African-American,25 - 45,Medium,Male,6,0.0,6,1,2014-04-30 02:11:49,2014-05-30 04:59:14
33,M,Other,25 - 45,Low,Male,0,-1.0,1,0,2014-03-08 01:34:03,2014-03-09 10:21:45
56,M,African-American,Greater than 45,Low,Female,0,0.0,1,0,2013-09-28 02:52:18,2013-10-01 07:39:52
45,F,Hispanic,Greater than 45,Low,Male,6,-1.0,1,1,2013-01-12 05:43:00,2013-09-11 04:51:56
22,F,Hispanic,Less than 25,Low,Male,1,-1.0,4,0,2013-05-24 06:06:17,2013-05-25 07:28:17
31,F,Caucasian,25 - 45,Low,Female,2,-1.0,3,0,2014-11-07 11:56:35,2014-11-08 08:12:11
34,F,African-American,25 - 45,Low,Male,0,0.0,4,0,2013-01-09 04:31:05,2014-03-04 06:20:58
39,M,African-American,25 - 45,Low,Male,1,-1.0,4,0,2013-03-06 11:23:53,2013-03-11 09:00:57
24,M,African-American,Less than 25,Medium,Male,4,-1.0,6,0,2014-09-20 10:06:03,2014-09-21 07:02:01
29,F,African-American,25 - 45,Medium,Male,5,0.0,6,1,2013-01-07 02:12:47,2013-01-08 05:19:42
27,F,Caucasian,25 - 45,Medium,Male,1,-1.0,6,1,2014-12-02 03:23:28,2014-12-16 09:24:24
41,O,African-American,25 - 45,Low,Male,0,-1.0,2,-1,2013-04-17 03:45:48,2013-09-12 10:31:00
24,M,Hispanic,Less than 25,Low,Female,1,-325.0,4,0,2013-12-08 09:05:13,2013-12-08 07:52:08
40,F,African-American,25 - 45,Low,Male,2,-15.0,2,0,2013-07-02 03:42:01,2013-07-05 08:13:10
51,F,African-American,Greater than 45,Low,Male,1,-78.0,1,0,2013-12-16 11:12:56,2014-02-10 11:04:11
22,M,African-American,Less than 25,Low,Male,1,0.0,3,1,2013-08-25 12:07:09,2013-09-11 08:04:08
22,F,Caucasian,Less than 25,High,Male,0,-1.0,8,0,2013-02-18 12:24:07,2013-04-17 10:32:09
26,F,African-American,25 - 45,Low,Female,1,-1.0,4,1,2013-11-07 09:01:45,2013-11-09 09:07:50
27,F,Caucasian,25 - 45,Medium,Male,1,-43.0,7,1,2014-06-08 01:02:27,2014-06-27 09:37:41
59,F,African-American,Greater than 45,Low,Female,2,-1.0,1,0,2013-04-17 03:45:48,2013-09-12 10:31:00
32,M,Caucasian,25 - 45,Low,Male,3,-389.0,1,0,2013-03-22 10:41:11,2013-05-31 03:56:11
32,F,African-American,25 - 45,Low,Male,0,-1.0,2,0,2013-03-03 03:33:48,2013-03-04 07:08:59
41,M,African-American,25 - 45,Low,Male,1,-1.0,2,0,2013-02-27 09:49:07,2013-03-01 01:59:16
50,M,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,2014-04-25 11:34:30,2014-04-26 01:03:23
30,M,African-American,25 - 45,High,Male,8,-1.0,10,1,2013-02-20 02:14:37,2013-02-21 07:47:06
66,M,African-American,Greater than 45,High,Male,0,-1.0,9,0,2014-10-16 06:36:44,2014-10-17 08:50:33
52,F,African-American,Greater than 45,Medium,Male,3,-318.0,5,0,2013-09-02 04:25:11,2013-09-11 05:54:19
36,O,African-American,25 - 45,Medium,Male,0,-1.0,6,-1,2013-04-17 03:45:48,2013-09-12 10:31:00
22,F,Caucasian,Less than 25,Medium,Male,3,-5.0,6,0,2014-06-19 12:38:23,2014-06-19 08:56:13
50,F,Other,Greater than 45,Low,Male,0,-1.0,1,1,2014-08-06 12:43:24,2014-08-07 08:29:46
25,F,African-American,25 - 45,High,Male,14,-1.0,10,1,2013-04-19 02:20:32,2013-04-26 05:45:46
44,O,Caucasian,25 - 45,Low,Female,0,-1.0,1,-1,2013-04-17 03:45:48,2013-09-12 10:31:00
20,F,Other,Less than 25,Medium,Male,0,-1.0,5,1,2013-10-02 05:50:22,2013-10-03 08:15:24
22,F,African-American,Less than 25,High,Male,2,0.0,9,1,2014-01-16 02:39:46,2014-02-15 04:39:31
23,M,African-American,Less than 25,Medium,Male,2,137.0,7,1,2014-08-01 08:35:46,2014-08-02 01:49:31
54,F,African-American,Greater than 45,Medium,Male,6,-1.0,6,0,2014-08-06 10:41:47,2014-11-20 03:53:23
40,F,Caucasian,25 - 45,Medium,Male,4,-1.0,5,0,2014-03-25 08:59:43,2014-03-26 01:46:11
25,F,African-American,25 - 45,Medium,Male,10,-181.0,7,0,2014-03-01 09:30:48,2014-08-29 11:56:49
35,M,African-American,25 - 45,Low,Female,1,-1.0,2,0,2013-03-29 06:55:39,2013-03-30 03:12:37
36,F,African-American,25 - 45,Medium,Male,9,0.0,7,1,2014-04-29 12:24:22,2014-05-03 04:26:44
26,F,Caucasian,25 - 45,High,Male,7,0.0,8,1,2013-01-12 04:53:07,2013-01-12 07:28:51
21,F,Other,Less than 25,Medium,Male,1,0.0,6,1,2013-04-20 12:30:29,2013-04-24 10:36:19
28,O,African-American,25 - 45,Low,Female,0,-1.0,3,-1,2013-04-17 03:45:48,2013-09-12 10:31:00
30,F,Caucasian,25 - 45,Medium,Male,6,-239.0,5,0,2014-04-21 03:20:18,2014-05-01 09:34:11
25,F,Caucasian,25 - 45,High,Male,9,-1.0,8,1,2014-12-12 07:27:40,2014-12-13 07:23:49
71,M,African-American,Greater than 45,Medium,Male,12,-1.0,7,0,2013-04-17 03:45:48,2013-09-12 10:31:00
34,M,African-American,25 - 45,Low,Male,3,-21.0,3,0,2014-11-13 08:19:29,2014-11-29 12:50:27
20,F,Caucasian,Less than 25,Medium,Female,0,-1.0,7,0,2013-11-13 11:21:14,2013-11-14 01:36:21
39,F,Caucasian,25 - 45,Low,Male,2,-2.0,1,1,2013-02-11 12:50:21,2013-02-11 07:33:17
66,F,Caucasian,Greater than 45,Low,Male,3,-64.0,1,0,2013-09-03 04:44:29,2013-10-03 12:15:17
54,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,2013-04-15 01:07:24,2013-04-15 07:56:24
28,O,African-American,25 - 45,Low,Male,0,-1.0,4,-1,2013-04-17 03:45:48,2013-09-12 10:31:00
44,M,Hispanic,25 - 45,Low,Female,0,-2.0,1,0,2013-08-18 03:23:05,2013-08-19 06:27:00
19,M,African-American,Less than 25,Low,Male,1,-10.0,4,1,2014-11-04 07:39:38,2014-11-13 10:02:51
24,F,African-American,Less than 25,Low,Male,1,-137.0,2,0,2013-10-14 04:11:17,2014-02-28 11:20:14
30,F,African-American,25 - 45,Low,Male,1,-1.0,2,0,2013-09-08 09:39:18,2013-09-09 08:03:09
39,F,Caucasian,25 - 45,Low,Female,0,-1.0,1,1,2013-09-04 11:36:38,2013-09-06 04:07:01
32,M,African-American,25 - 45,Low,Female,8,0.0,3,0,2014-11-25 05:33:33,2014-11-26 02:49:43
24,F,Caucasian,Less than 25,Medium,Male,8,-1.0,6,1,2013-04-10 05:59:23,2013-04-22 10:32:05
30,F,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,2013-08-28 11:22:24,2013-09-03 10:40:45
31,M,Caucasian,25 - 45,Medium,Male,0,-1.0,5,0,2014-02-20 09:46:47,2014-03-31 09:04:43
39,F,Caucasian,25 - 45,Low,Female,1,-1.0,4,0,2013-02-25 07:42:47,2013-06-12 04:31:04
59,F,African-American,Greater than 45,High,Male,14,178.0,9,1,2015-05-31 07:39:18,2015-09-18 01:21:56
35,F,Caucasian,25 - 45,Medium,Male,7,0.0,6,0,2014-05-08 04:22:14,2014-05-08 12:57:16
24,F,Other,Less than 25,Low,Female,0,-1.0,3,0,2014-06-04 01:23:52,2014-06-21 01:13:30
43,F,Caucasian,25 - 45,Low,Male,1,-30.0,1,0,2013-07-16 06:41:37,2013-07-17 07:35:00
21,F,African-American,Less than 25,High,Male,2,-1.0,9,0,2014-10-15 12:23:24,2014-10-17 03:41:40
21,M,African-American,Less than 25,Low,Female,0,-1.0,4,0,2014-09-19 06:13:00,2014-09-23 05:47:00
21,F,African-American,Less than 25,High,Male,3,-1.0,9,1,2013-03-01 01:43:35,2013-03-07 08:20:12
27,F,African-American,25 - 45,Medium,Male,0,-1.0,7,0,2014-06-05 09:28:31,2014-06-06 02:38:15
20,F,African-American,Less than 25,High,Male,0,0.0,8,0,2014-10-08 03:57:59,2014-10-08 08:30:20
38,M,Caucasian,25 - 45,Low,Male,5,-1.0,4,1,2013-01-15 08:16:11,2013-01-18 04:32:15
27,F,African-American,25 - 45,High,Male,3,-1.0,9,0,2013-02-24 06:02:23,2013-09-19 08:59:55
34,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,2013-02-15 10:54:22,2013-03-02 09:04:47
30,F,African-American,25 - 45,Low,Male,3,0.0,3,0,2014-12-29 07:22:39,2014-12-29 07:21:35
33,F,African-American,25 - 45,Medium,Male,5,0.0,5,1,2013-11-17 01:23:30,2013-11-17 08:15:06
37,F,African-American,25 - 45,Low,Male,3,0.0,2,0,2013-11-18 03:46:24,2013-11-19 10:18:36
42,F,Caucasian,25 - 45,Low,Male,1,0.0,2,1,2013-03-16 03:53:03,2013-03-17 01:43:20
41,F,African-American,25 - 45,High,Male,10,0.0,9,1,2013-09-06 04:25:05,2014-03-01 04:39:46
22,F,African-American,Less than 25,Low,Male,0,-1.0,4,1,2013-11-12 03:57:04,2013-11-13 01:01:29
33,F,African-American,25 - 45,High,Male,28,-1.0,8,1,2014-01-10 08:06:40,2014-01-12 04:07:52
44,M,Caucasian,25 - 45,Low,Male,0,-3.0,1,0,2014-10-31 03:02:35,2014-11-01 08:35:16
31,M,African-American,25 - 45,Medium,Male,1,-1.0,7,0,2013-10-13 03:47:49,2013-10-14 08:18:17
26,F,African-American,25 - 45,High,Male,9,0.0,8,0,2014-02-20 10:48:30,2014-02-21 10:16:49
30,F,Other,25 - 45,Low,Female,1,-1.0,2,0,2013-10-28 07:07:32,2013-10-29 09:49:38
31,F,Caucasian,25 - 45,High,Male,13,-1.0,10,1,2013-02-25 06:43:30,2014-06-11 12:57:06
27,F,African-American,25 - 45,High,Male,3,-1.0,9,1,2014-11-14 12:10:00,2014-11-15 11:29:02
31,F,Caucasian,25 - 45,Low,Female,1,-1.0,2,0,2014-09-10 07:01:03,2014-09-11 08:00:54
47,F,Hispanic,Greater than 45,Low,Male,2,-1.0,1,0,2014-06-05 03:52:26,2014-06-06 02:22:21
56,F,African-American,Greater than 45,High,Male,8,67.0,9,0,2014-02-11 09:01:26,2014-05-02 08:04:43
33,M,Asian,25 - 45,High,Male,2,14.0,8,0,2014-10-13 03:42:04,2014-10-27 01:08:43
52,M,Caucasian,Greater than 45,High,Male,3,-2.0,9,0,2013-07-27 10:50:36,2013-07-28 02:01:45
33,F,African-American,25 - 45,High,Male,19,-1.0,10,1,2013-12-28 10:22:08,2013-12-29 07:10:39
61,F,Caucasian,Greater than 45,Low,Male,0,-1.0,4,0,2014-07-20 09:28:43,2014-08-04 11:02:06
64,M,Caucasian,Greater than 45,Low,Female,2,-47.0,1,0,2014-02-12 04:23:22,2014-02-12 01:49:55
22,F,Caucasian,Less than 25,Medium,Male,4,-36.0,6,1,2014-07-07 04:10:30,2014-07-21 09:38:10
42,F,Caucasian,25 - 45,Low,Male,6,-4.0,3,0,2013-09-13 12:01:41,2013-09-13 09:01:37
25,F,Caucasian,25 - 45,Low,Female,2,-1.0,4,0,2013-12-22 01:36:59,2013-12-25 02:33:32
27,F,Caucasian,25 - 45,Low,Male,0,-1.0,1,0,2014-05-28 07:35:12,2014-05-29 12:27:01
30,M,Caucasian,25 - 45,Low,Male,1,-20.0,2,0,2013-10-30 06:36:57,2013-11-03 02:08:43
23,O,African-American,Less than 25,Low,Male,0,-1.0,2,-1,2013-04-17 03:45:48,2013-09-12 10:31:00
28,F,Caucasian,25 - 45,Low,Male,2,-1.0,1,0,2013-04-17 03:45:48,2013-09-12 10:31:00
37,M,Other,25 - 45,Low,Female,2,-1.0,2,0,2013-12-29 10:42:45,2013-12-31 04:10:00
21,F,Caucasian,Less than 25,Medium,Male,1,-1.0,5,0,2014-07-06 07:37:31,2014-07-07 10:52:16
28,M,Caucasian,25 - 45,Low,Male,0,-1.0,2,1,2014-12-18 11:16:49,2014-12-19 08:34:46
24,M,African-American,Less than 25,Low,Female,0,-1.0,2,0,2014-02-06 01:25:28,2014-02-08 12:00:39
37,F,African-American,25 - 45,High,Male,13,-29.0,8,0,2014-02-18 07:29:11,2014-03-19 10:23:08
22,F,African-American,Less than 25,High,Male,0,-1.0,9,0,2013-10-21 07:05:37,2013-10-29 02:55:00
29,F,Caucasian,25 - 45,Low,Female,10,-1.0,4,1,2014-11-18 07:08:18,2014-11-25 09:31:21
25,F,Caucasian,25 - 45,Low,Female,0,-1.0,3,0,2014-04-25 06:18:00,2014-04-26 01:28:28
44,M,Caucasian,25 - 45,Low,Male,2,0.0,2,1,2014-01-27 02:05:45,2014-01-27 01:32:12
30,F,Hispanic,25 - 45,Medium,Female,4,-35.0,5,1,2014-02-28 01:37:01,2014-02-28 09:21:54
32,F,African-American,25 - 45,Medium,Male,3,-1.0,7,1,2013-01-01 07:06:35,2013-01-09 08:36:21
53,F,Hispanic,Greater than 45,Low,Male,1,-1.0,4,0,2014-05-24 05:45:16,2014-05-25 09:15:12
34,M,Other,25 - 45,Low,Male,1,0.0,2,0,2014-11-29 04:14:25,2014-12-01 12:36:46
31,M,Caucasian,25 - 45,Low,Male,2,-16.0,3,1,2013-08-20 05:28:11,2013-09-04 08:35:41
27,F,African-American,25 - 45,High,Male,5,20.0,10,0,2013-08-20 12:52:21,2013-08-27 06:26:34
31,M,African-American,25 - 45,Low,Male,1,-1.0,2,1,2013-01-16 05:37:32,2013-01-17 07:15:11
59,F,Caucasian,Greater than 45,Low,Male,1,-1.0,2,1,2013-04-01 11:13:32,2013-04-02 01:06:22
28,F,African-American,25 - 45,High,Male,15,0.0,10,0,2014-02-28 12:12:20,2014-04-10 06:53:07
45,F,Caucasian,Greater than 45,Low,Female,4,-1.0,4,0,2013-04-17 03:45:48,2013-09-12 10:31:00
23,M,Caucasian,Less than 25,Low,Male,0,-1.0,3,0,2014-11-09 07:59:51,2014-11-10 01:38:29
20,F,African-American,Less than 25,High,Female,1,0.0,10,0,2013-11-20 09:36:33,2013-11-23 04:06:00
42,F,African-American,25 - 45,Low,Male,2,-41.0,1,0,2014-06-17 12:17:27,2014-06-28 01:24:02
43,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,2013-05-14 04:01:02,2013-05-15 03:11:16
38,F,African-American,25 - 45,High,Male,9,-1.0,8,1,2014-04-18 02:31:13,2014-05-01 05:39:49
32,F,African-American,25 - 45,Medium,Male,11,-2.0,6,1,2014-12-17 02:03:04,2014-12-18 08:41:05
33,M,African-American,25 - 45,Medium,Male,8,-1.0,5,1,2013-12-25 07:37:38,2013-12-26 01:30:44
55,M,African-American,Greater than 45,High,Male,4,-1.0,8,0,2014-09-27 03:38:45,2014-10-13 09:23:13
31,F,African-American,25 - 45,Low,Female,0,-1.0,3,1,2014-10-22 11:17:38,2014-10-24 06:08:10
33,F,African-American,25 - 45,High,Female,7,-1.0,9,1,2013-01-10 01:18:15,2013-02-05 05:36:46
27,F,African-American,25 - 45,High,Male,2,-1.0,9,1,2013-04-15 05:49:27,2013-04-16 07:48:50
52,M,African-American,Greater than 45,Low,Male,0,-1.0,1,0,2014-11-02 01:01:20,2014-11-03 01:37:13
20,F,African-American,Less than 25,Medium,Female,0,0.0,6,0,2013-12-07 03:39:31,2013-12-07 07:28:49
26,M,Caucasian,25 - 45,Medium,Female,0,-2.0,6,0,2014-01-25 04:45:14,2014-01-26 02:13:40
25,M,African-American,25 - 45,High,Male,4,-1.0,10,0,2014-08-12 03:25:00,2015-05-01 12:01:36
61,F,African-American,Greater than 45,Low,Female,1,-1.0,1,1,2013-04-26 07:00:16,2013-04-27 01:09:09
52,F,Other,Greater than 45,Medium,Male,13,-1.0,7,1,2013-05-14 09:51:40,2013-05-16 03:32:12
63,F,Hispanic,Greater than 45,Low,Male,1,-26.0,1,0,2014-01-10 09:45:32,2014-01-25 05:08:15
40,O,Hispanic,25 - 45,Low,Male,0,-1.0,2,-1,2013-04-17 03:45:48,2013-09-12 10:31:00
32,F,African-American,25 - 45,High,Female,4,-7.0,10,1,2014-04-16 09:55:10,2014-04-23 05:27:00
29,F,Hispanic,25 - 45,Low,Male,1,-1.0,4,0,2013-09-05 06:24:46,2013-09-06 03:39:35
